Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38769051,Farsighted: How We Make the Decisions That Matter the Most,Steven Johnson,"Johnson, Steven",,"=""1594488215""","=""9781594488214""",1,3.56,Riverhead,Hardcover,256,2018,2018,,2019/04/29,did-not-finish,did-not-finish (#23),did-not-finish,https://en.wikipedia.org/wiki/Farsighted_(book)<br/><br/>Summary: <br/>Don't fall for the paradox of presented options<br/>mind map all available options<br/>Attach outcomes to the mind map<br/>Work through and eliminate the cruft<br/>Make the right decision<br/><br/>*Caveat* did not finish this book. couldn't get past his narrative style.,,,0,0
42739760,Budoshoshinshu: Essential Teachings on the Way of the Warrior,Daidōji Yūzan,"Yūzan, Daidōji",Bill Wilson,"=""0834841703""","=""9780834841703""",5,4.03,Shambhala,Kindle Edition,209,2018,1943,2020/01/01,2020/07/03,,,read,Great collection of “ways of the warrior”. Since the book covers a period of time when much of Japan is peaceful very little is mentioned on strategy and war. <br/><br/>The book reads much like A wise mature self help book full of life lessons. Reading more than once if you too consider the way of the warrior. ,,,1,0
75182,What to Eat,Marion Nestle,"Nestle, Marion",,"=""0865477043""","=""9780865477049""",5,4.03,North Point Press,Hardcover,624,2006,2006,2021/05/31,2021/04/24,"food, personal-development","food (#4), personal-development (#33)",read,This is a great look of HOW to go grocery shopping. With a look at mostly NY stores it offers a great insight in how best to shop and feed your body.,,,1,0
35249663,Inspired: How to Create Tech Products Customers Love,Marty Cagan,"Cagan, Marty",,"=""1119387507""","=""9781119387503""",5,4.24,Wiley,Hardcover,349,2017,2008,,2021/04/20,did-not-finish,did-not-finish (#31),did-not-finish,"Great book, especially for a product leader at a technology company. Read about half the book and put it down. A bit repetitive.",,,0,0
7648269,Empire of the Summer Moon,S.C. Gwynne,"Gwynne, S.C.",,"=""1416591052""","=""9781416591054""",4,4.23,Scribner,Hardcover,371,2010,2010,2021/08/25,2021/08/31,"history, biography","history (#33), biography (#21)",read,"Definitely worth the read of ""things they don't teach in high school"". An amazing look at the high plains tribes of Texas/Mexico/Oklahoma and all the challenges there within.<br/><br/>Amazing to think that the Comanche bands had stopped and pushed back westward anglo settlers for decades before the advent of modern day repeating rifles and disease. Great segue for [b:Guns, Germs, and Steel: The Fates of Human Societies|1842|Guns, Germs, and Steel  The Fates of Human Societies|Jared Diamond|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453215833l/1842._SY75_.jpg|2138852]",,,1,0
30120,Falling Up,Shel Silverstein,"Silverstein, Shel",,"=""0060513098""","=""9780060513092""",5,4.35,Harpercollins Childrens Books,Hardcover,178,2003,1996,2021/04/27,2021/04/27,"poetry, childhood-favorite","poetry (#2), childhood-favorite (#7)",read,Revisiting another childhood favorite. Kids loved it. Great reminder of the fun things in life.,,,1,0
22552026,Long Way Down,Jason Reynolds,"Reynolds, Jason",,"=""1481438255""","=""9781481438254""",5,4.26,Atheneum/Caitlyn Dlouhy Books,Hardcover,306,2017,2017,2021/04/26,2021/04/27,poetry,poetry (#1),read,Are you coming? A poets look at violence and the act of revenge.,,,1,0
6127630,The End of Overeating: Taking Control of the Insatiable American Appetite,David A. Kessler,"Kessler, David A.",Blair Hardman,"=""074359679X""","=""9780743596794""",5,3.67,Simon  Schuster Audio,Audio CD,6,2009,2009,2016/02/22,2016/10/11,"psychology, food","psychology (#11), food (#3)",read,"For some of the population food is a means to an end. For others that don't have eating disorders, but do suffer from emotion and reward trigger based eating, food almost controls every aspect of life. These highly emotional responses to food come from habits formed over a lifetime. Kessler also observes that caloric intake does not follow homeostasis response. This 'set-point' theory is why persistent pounds are the hardest to shed. Not the first 5lbs but the last 5lbs.<br/><br/>Fat, salt, and sugar. The trifecta of combination triggers reward centers in the mind that lead to cravings that are past the homeostasis maintaining body fat.<br/><br/>Part One of this book primarily focuses on the brain interaction with habit forming emotional stimulus. Previous reading on [b:Thinking, Fast and Slow|11468377|Thinking, Fast and Slow|Daniel Kahneman|https://d.gr-assets.com/books/1317793965s/11468377.jpg|16402639] really primed this discussion on the brain. Without this background knowledge of two system brain Kessler skims over some of the more nuanced brain terminology.<br/><br/>Conclusion of part one: objective driven behaviors 'I want ice cream' will quickly become habit behaviors 'why am I always craving ice cream when I get home from work'. To control eating you must engage the top down part of the brain. If anticipation of food causes dopamine/oxycodone response this is a habit. If hunger is the motivator it is an objective.<br/><br/>Part two and added to much of the literature is a study on how food scientists design their foods to hit each area of the food 'compass' (fat, salt, sugar). this typically means butter/oils, sugar (not refined, but molasses, brown sugar), salt. Another observation is restaurant industry tries to make food ultra-palatable. By using binding agents food is easier to chew so more can be consumed in one sitting. Advertising is based around the emotional responses to food.<br/><br/>One of the biggest problems in today's society is greed of corporations and accessibility of foods. What was once an occasional treat of a 2oz chocolate muffin is now a 5oz chemical laden chocolate CHIP muffin. Great review of how our consumption habits have changed in the last 50 years.",,"Introduction on this book alone details my problems with food immensely. <br/>I really identified with this book. It mixes the brain processes with 'conditioned hypereating' which is the expression of 'urge, action, reward' stimulus in the brain.",1,0
28153282,First Bite: How We Learn to Eat,Bee Wilson,"Wilson, Bee",,"=""1504657705""","=""9781504657709""",4,3.88,Blackstone Audiobooks,Audio CD,,2015,2015,2018/11/14,2018/11/08,"personal-development, psychology, food","personal-development (#25), psychology (#22), food (#2)",read,Great book that tracks eating habits from birth to adulthood.<br/><br/>Bottom line. Eating habits are learned and cultural. Some key takeaways<br/><br/>1. Kids have a 'flavor' palate window 4months to 7months so early food tastes are critical<br/>2. It's never too late to change eating habits and behaviors<br/>3. Family dinner time is still an incredibly important aspect of healthy eating habits,,,1,0
17707668,Food Rules: An Eater's Manual,Michael Pollan,"Pollan, Michael",Maira Kalman,"=""0143124102""","=""9780143124108""",5,3.99,Penguin Books,Paperback,224,2013,2008,2021/04/24,2021/04/24,food,food (#1),read,A quick afternoon read. This is a whimsical and fun look at the mindset shifts we can have to eat better. <br/><br/>Eat food. Not too much. Mostly plants. <br/><br/>The illustrations add a nice perspective. ,,,1,0
